student_id,weekly_self_study_hours,attendance_percentage,class_participation,total_score,grade
1,18.5,95.6,3.8,97.9,A
2,14.0,80.0,2.5,83.9,B
3,19.5,86.3,5.3,100.0,A
4,25.7,70.2,7.0,100.0,A
5,13.4,81.9,6.9,92.0,A
6,13.4,65.1,5.0,97.5,A
7,26.1,81.8,5.9,100.0,A
8,20.4,100.0,4.0,96.1,A
9,11.7,100.0,8.2,69.8,C
10,18.8,67.6,6.0,80.3,B
11,11.8,82.3,4.6,66.4,C
12,11.7,75.9,7.6,72.5,B
13,16.7,77.9,2.5,95.2,A
14,1.6,92.1,5.7,60.9,C
15,2.9,90.7,5.4,52.1,D
16,11.1,87.4,3.9,73.5,B
17,7.9,85.9,7.7,63.0,C
18,17.2,74.0,8.1,100.0,A
19,8.6,100.0,9.0,75.4,B
20,5.1,91.4,4.5,57.9,C
21,25.3,89.3,6.4,100.0,A
22,13.4,93.5,9.4,79.0,B
23,15.5,100.0,8.5,76.3,B
24,5.0,74.2,5.0,58.7,C
25,11.2,96.1,4.9,68.3,C
26,15.8,81.1,5.0,97.2,A
27,6.9,73.6,6.1,68.4,C
28,17.6,83.9,8.9,100.0,A
29,10.8,86.2,3.4,63.6,C
30,13.0,75.0,5.7,89.2,A
31,10.8,76.6,5.0,77.4,B
32,28.0,89.2,6.5,100.0,A
33,14.9,68.4,7.2,82.6,B
34,7.6,93.0,6.2,71.9,B
35,20.8,85.2,7.7,97.4,A
36,6.5,86.4,8.2,61.6,C
37,16.5,86.8,4.6,99.5,A
38,1.3,92.9,8.6,50.1,D
39,5.7,93.4,8.3,56.7,C
40,16.4,76.5,2.6,84.0,B
41,20.2,85.6,5.6,100.0,A
42,16.2,84.2,7.0,100.0,A
43,14.2,76.5,6.1,63.6,C
44,12.9,78.7,3.7,100.0,A
45,4.7,100.0,3.3,55.9,C
46,10.0,83.4,7.3,89.6,A
47,11.8,89.5,3.3,78.7,B
48,22.4,85.9,5.8,90.3,A
49,17.4,79.9,7.6,71.0,B
50,2.7,77.5,6.4,51.1,D
51,17.3,93.8,8.8,82.7,B
52,12.3,84.6,6.8,91.0,A
53,10.3,90.3,6.0,92.7,A
54,19.3,77.7,8.2,100.0,A
55,22.2,80.2,4.1,100.0,A
56,21.5,84.1,7.7,100.0,A
57,9.1,81.4,5.4,76.9,B
58,12.8,83.7,4.9,91.9,A
59,17.3,99.0,6.9,89.5,A
60,21.8,94.7,6.0,100.0,A
61,11.6,80.9,2.7,71.2,B
62,13.7,89.6,5.5,81.9,B
63,7.3,68.3,6.9,67.1,C
64,6.6,85.3,3.4,69.9,C
65,20.7,85.8,6.8,96.5,A
66,24.5,82.0,8.4,100.0,A
67,14.5,73.7,7.1,80.4,B
68,22.0,85.0,9.7,92.2,A
69,17.5,83.1,8.8,83.6,B
70,10.5,91.8,3.8,78.8,B
71,17.5,82.9,5.2,93.2,A
72,25.8,82.6,7.0,100.0,A
73,14.7,70.6,3.8,84.5,B
74,26.0,88.5,9.0,100.0,A
75,0.0,86.4,6.8,47.4,D
76,20.8,81.6,4.4,97.5,A
77,15.6,90.1,7.7,90.8,A
78,12.9,80.4,6.0,87.7,A
79,15.6,100.0,6.1,91.7,A
80,1.1,81.4,4.3,54.6,D
81,13.5,69.7,5.5,81.0,B
82,17.5,64.4,6.4,79.5,B
83,25.3,85.0,4.3,100.0,A
84,11.4,83.4,8.3,62.3,C
85,9.3,69.7,7.5,64.9,C
86,11.5,84.1,4.5,93.3,A
87,21.4,100.0,4.6,100.0,A
88,17.3,64.7,8.9,98.4,A
89,11.3,80.9,4.2,69.2,C
90,18.6,80.6,4.4,93.9,A
91,15.7,74.6,3.3,100.0,A
92,21.8,92.7,7.9,100.0,A
93,10.1,78.4,4.9,79.7,B
94,12.7,95.9,6.3,86.6,A
95,12.3,70.9,8.5,72.0,B
96,4.8,79.9,4.2,73.6,B
97,17.1,76.7,7.6,67.3,C
98,16.8,95.7,5.3,73.1,B
99,15.0,80.7,6.0,100.0,A
